ProductId,ProductCategory,ProductTitle,ProductReference,ProductPrice,ProductImageUrl
3861,Make-up/Brushes,b'Blush brush SORBET BRUSH',Art. nr 4226,34.99,http://donegal.com.pl/3032-large_default/4226.jpg
3862,Make-up/Brushes,b'Contour brush SORBET BRUSH',Art. nr 4227,34.99,http://donegal.com.pl/3035-large_default/4227.jpg
3863,Make-up/Brushes,b'Eyeshadow blending brush SORBET BRUSH',Art. nr 4229,13.99,http://donegal.com.pl/3039-large_default/4229.jpg
3864,Make-up/Brushes,b'Eyeshadow blending brush SORBET BRUSH',Art. nr 4230,13.99,http://donegal.com.pl/3041-large_default/pedzel-do-blendowania-cieni-sorbet-brush.jpg
3865,Make-up/Brushes,b'Concealer brush SORBET BRUSH',Art. nr 4231,13.99,http://donegal.com.pl/3043-large_default/4231.jpg
3866,Make-up/Brushes,b'Eyebrow contouring brush SORBET BRUSH',Art. nr 4232,13.99,http://donegal.com.pl/3045-large_default/4232.jpg
3853,Make-up/Brushes,b'Powder brush PINK INK',Art. nr 4218,32.19,http://donegal.com.pl/3016-large_default/4218.jpg
3852,Make-up/Brushes,b'Tapered powder brush PINK INK',Art. nr 4217,33.89,http://donegal.com.pl/3014-large_default/4217.jpg
3854,Make-up/Brushes,b'Contour brush PINK INK',Art. nr 4219,29.49,http://donegal.com.pl/3018-large_default/4219.jpg
3857,Make-up/Brushes,b'Eyeshadow blending brush PINK INK',Art. nr 4222,11.99,http://donegal.com.pl/3024-large_default/4222.jpg
3855,Make-up/Brushes,b'Eyeshadow blending brush PINK INK',Art. nr 4220,16.89,http://donegal.com.pl/3020-large_default/4220.jpg
3859,Make-up/Brushes,b'Eyeshadow blending brush PINK INK',Art. nr 4224,11.99,http://donegal.com.pl/3028-large_default/4224.jpg
3856,Make-up/Brushes,b'Eyeshadow blending brush PINK INK',Art. nr 4221,11.99,http://donegal.com.pl/3022-large_default/4221.jpg
3858,Make-up/Brushes,b'Eyebrow contouring brush PINK INK',Art. nr 4223,11.99,http://donegal.com.pl/3026-large_default/4223.jpg
3808,Make-up/Brushes,b'Powder brush ROSY VIBES',Art. nr 4215,32.99,http://donegal.com.pl/2853-large_default/4215.jpg
3809,Make-up/Brushes,b'Contour brush ROSY VIBES',Art. nr 4216,32.99,http://donegal.com.pl/2855-large_default/4216.jpg
3807,Make-up/Brushes,b'Foundation brush ROSY VIBES',Art. nr 4214,32.99,http://donegal.com.pl/2857-large_default/4214.jpg
3803,Make-up/Brushes,b'Double bristle foundation brush ROSY VIBES',Art. nr 4210,32.99,http://donegal.com.pl/2859-large_default/4210.jpg
3806,Make-up/Brushes,b'Highlighter brush ROSY VIBES',Art. nr 4213,11.99,http://donegal.com.pl/2862-large_default/4213.jpg

3743,Make-up/Tweezers,b'Slant tip tweezers DREAM ROSE',Art. nr 4116,7.59,http://donegal.com.pl/2231-large_default/4116.jpg
3742,Make-up/Tweezers,b'Straight tip tweezers DREAM ROSE',Art. nr 4115,7.59,http://donegal.com.pl/2229-large_default/4115.jpg
1374,Make-up/Tweezers,b'Straight tip tweezers',Art. nr 9452,5.89,http://donegal.com.pl/2358-large_default/peseta-kosmetyczna-precision-prosta.jpg
1359,Make-up/Tweezers,b'Straight tip tweezers',Art. nr 1033,2.59,http://donegal.com.pl/2359-large_default/peseta-kosmetyczna-silver-secure-prosta.jpg
1371,Make-up/Tweezers,b'Straight tip tweezers',Art. nr 9370,6.99,http://donegal.com.pl/2360-large_default/peseta-kosmetyczna-foxy-eyes-prosta.jpg
1369,Make-up/Tweezers,b'Slant tip tweezers',Art. nr 9368,6.99,http://donegal.com.pl/2361-large_default/peseta-kosmetyczna-fancy-eyes-skosna.jpg
1368,Make-up/Tweezers,b'Slant tip tweezers',Art. nr 9023,2.79,http://donegal.com.pl/2363-large_default/peseta-kosmetyczna-precision-ukosna.jpg
1375,Make-up/Tweezers,b'Slant tip tweezers',Art. nr 9453,5.69,http://donegal.com.pl/2364-large_default/peseta-kosmetyczna-excellent-ukosna.jpg
3030,Make-up/Tweezers,b'Straight tip tweezers BEAUTY CARE',Art. nr 4110,2.39,http://donegal.com.pl/2375-large_default/peseta-kosmetyczna-prosta-srebrna-beauty-care.jpg
1360,Make-up/Tweezers,b'Straight tip tweezers',Art. nr 1090,3.99,http://donegal.com.pl/2362-large_default/peseta-golden-eye-w-etui.jpg
1362,Make-up/Tweezers,b'Slant tip tweezers',Art. nr 1092,4.39,http://donegal.com.pl/2365-large_default/peseta-kosmetyczna-golden-eye-ukosna.jpg
1377,Make-up/Tweezers,b'Straight tip tweezers',Art. nr 9724,5.89,http://donegal.com.pl/2366-large_default/peseta-kosmetyczna-goldrush-prosta.jpg
1376,Make-up/Tweezers,b'Slant tip tweezers',Art. nr 9723,5.49,http://donegal.com.pl/2367-large_default/peseta-kosmetyczna-goldrush-ukosna.jpg
3644,Make-up/Tweezers,b'Eyebrow stancil 3 pieces',Art. nr 4465,5.49,http://donegal.com.pl/1803-large_default/szablony-do-brwi-3szt.jpg
1365,Make-up/Tweezers,b'Slant tip tweezers',Art. nr 4102,6.99,http://donegal.com.pl/2368-large_default/peseta-kosmetyczna-shinning-diamond-z-cyrkoniami.jpg
2414,Make-up/Tweezers,b'Slant tip tweezers',Art. nr 4106,5.39,http://donegal.com.pl/2680-large_default/peseta-kosmetyczna-eastern-promises-ukosna.jpg
3246,Make-up/Tweezers,b'Slant tip tweezers NEON PLAY',Art. nr 4114,6.99,http://donegal.com.pl/2376-large_default/peseta-dwustronna-neon.jpg
2508,Make-up/Tweezers,b'Slant tip tweezers',Art. nr 4107,5.19,http://donegal.com.pl/2374-large_default/peseta-kosmetyczna-neon-chic-.jpg
1366,Make-up/Tweezers,b'Slant tip tweezers',Art. nr 4103,4.79,http://donegal.com.pl/2214-large_default/peseta-kosmetyczna-go-girl-ukosna.jpg
1372,Make-up/Tweezers,b'Slant tip tweezers',Art. nr 9372,8.79,http://donegal.com.pl/58-large_default/peseta-kosmetyczna-gorgeous-eyes-ukosna.jpg
3046,Make-up/Tweezers,b'Slant tip tweezers NEAON PLAY',Art. nr 4108,6.99,http://donegal.com.pl/2682-large_default/peseta-ukosna-neon-show.jpg

3666,Make-up/Eyelashes,b'False eyelashes with glue JUNGLE',Art. nr 4466,39.39,http://donegal.com.pl/2234-large_default/i-lashes-sztuczne-rzesy.jpg
3667,Make-up/Eyelashes,b'False eyelashes with glue JUNGLE',Art. nr 4467,39.39,http://donegal.com.pl/2235-large_default/i-lashes-sztuczne-rzesy.jpg
3668,Make-up/Eyelashes,b'False eyelashes with glue  JUNGLE',Art. nr 4468,39.39,http://donegal.com.pl/2208-large_default/eye-lashes-sztuczne-rzesy.jpg
3669,Make-up/Eyelashes,b'False eyelashes with glue JUNGLE',Art. nr 4469,39.39,http://donegal.com.pl/2236-large_default/i-lashes-sztuczne-rzesy.jpg
3831,Make-up/Eyelashes,b'False eyelashes with glue',Art. nr 4472,39.39,http://donegal.com.pl/2980-large_default/4472.jpg
3830,Make-up/Eyelashes,b'False eyelashes with glue',Art. nr 4471,10.89,http://donegal.com.pl/2978-large_default/4471.jpg
3829,Make-up/Eyelashes,b'False eyelashes with glue',Art. nr 4470,10.89,http://donegal.com.pl/2976-large_default/4470.jpg
1393,Make-up/Eyelashes,b'False eyelashes with glue',Art. nr 4455,10.89,http://donegal.com.pl/2988-large_default/sztuczne-rzesy-z-klejem.jpg
2680,Make-up/Eyelashes,b'False eyelashes with glue',Art. nr 4456,10.89,http://donegal.com.pl/2991-large_default/sztuczne-rzesy-z-klejem.jpg
1388,Make-up/Eyelashes,b'FALSE LASHES',Art. nr 4450,10.49,http://donegal.com.pl/2990-large_default/sztuczne-rzesy-z-klejem.jpg
2726,Make-up/Eyelashes,b'False eyelashes with glue',Art. nr 4459,11.19,http://donegal.com.pl/2985-large_default/sztuczne-rzesy-z-klejem.jpg
1400,Make-up/Eyelashes,b'False eyelashes with glue',Art. nr 9232,10.49,http://donegal.com.pl/2987-large_default/sztuczne-rzesy.jpg
1398,Make-up/Eyelashes,b'False eyelashes with glue',Art. nr 9230,10.49,http://donegal.com.pl/2992-large_default/sztuczne-rzesy.jpg
1399,Make-up/Eyelashes,b'False eyelashes',Art. nr 9231,10.49,http://donegal.com.pl/2995-large_default/sztuczne-rzesy.jpg
3255,Make-up/Eyelashes,b'False eyelashes with glue',Art. nr 4463,10.69,http://donegal.com.pl/2989-large_default/sztuczne-rzesy-polowki-z-klejem-hypnotizing-look.jpg
3144,Make-up/Eyelashes,b'Indyvidual false eyelashes',Art. nr 4462,14.39,http://donegal.com.pl/2993-large_default/sztuczne-rzesy-kepki-dlugie.jpg
1402,Make-up/Eyelashes,b'Indyvidual false eyelashes',Art. nr 9980,14.39,http://donegal.com.pl/2997-large_default/sztuczne-rzesy-kepki-srednie.jpg
1403,Make-up/Eyelashes,b'Indyvidual false eyelashes',Art. nr 9981,14.39,http://donegal.com.pl/2998-large_default/sztuczne-rzesy-kepki-krotkie.jpg
1401,Make-up/Eyelashes,b'INDIVIDUAL FALSE LASHES MIX OF LENGTH',Art. nr 9979,14.99,http://donegal.com.pl/2996-large_default/sztuczne-rzesy-kepki-mix.jpg
3254,Make-up/Eyelashes,b'Indyvidual false eyelashes',Art. nr 4464,14.39,http://donegal.com.pl/2994-large_default/pojedyncze-kepki-rzes-pojedyncze-one.jpg
3645,Make-up/Eyelashes,b'Eyelash brush 3 pieces',Art. nr 4052,3.39,http://donegal.com.pl/1230-large_default/grzebyk-do-sztucznych-rzes-3szt.jpg

3812,Make-up/Make-up accessories,b'Face cleansing brush',Art. nr 6039,14.49,http://donegal.com.pl/2879-large_default/6039.jpg
3815,Make-up/Make-up accessories,b'Blending sponge stand',Art. nr 4497,9.89,http://donegal.com.pl/2883-large_default/4497.jpg
3615,Make-up/Make-up accessories,b'Silicone make-up brush cleaner',Art. nr 4499,9.69,http://donegal.com.pl/2383-large_default/czyscik-do-pedzli.jpg
3307,Make-up/Make-up accessories,b'Silicone dace skin cleaner',Art. nr 4308,4.49,http://donegal.com.pl/1693-large_default/platek-do-mycia-twarzy.jpg
3237,Make-up/Make-up accessories,b'Sonic face brush SONIMATIC',Art. nr 6026,224.99,http://donegal.com.pl/1603-large_default/soniczna-szczoteczka-do-twarzy-sonimatic.jpg
3234,Make-up/Make-up accessories,b'Facial cleaning brush',Art. nr 6025,3.39,http://donegal.com.pl/273-large_default/szczoteczka-do-twarzy-clean-up.jpg
3798,Make-up/Make-up accessories,b'Blackheads removal tool 2 pieces',Art. nr 4117,8.49,http://donegal.com.pl/2815-large_default/4117.jpg
1383,Make-up/Make-up accessories,b'Make-up remover glove',Art. nr 4101,14.59,http://donegal.com.pl/2316-large_default/rekawica-do-demakijazu.jpg
3652,Make-up/Make-up accessories,b'Microfiber face cloth',Art. nr 4320,10.29,http://donegal.com.pl/1958-large_default/myjka-do-twarzy.jpg
3682,Make-up/Make-up accessories,b'Mask applicator',Art. nr 4324,13.09,http://donegal.com.pl/552-large_default/szpatulka-kosmetyczna.jpg
3819,Make-up/Make-up accessories,b'Cosmetic sharpener',Art. nr 4119,11.59,http://donegal.com.pl/2908-large_default/4119.jpg
1252,Make-up/Make-up accessories,b'Cosmetic sharpener',Art. nr 4104,2.99,http://donegal.com.pl/2370-large_default/temperowka-do-kredek-olowkow.jpg
1248,Make-up/Make-up accessories,b'Cosmetic sharpener',Art. nr 1036,2.99,http://donegal.com.pl/2371-large_default/temperowka-do-kredek-olowkow.jpg
3232,Make-up/Make-up accessories,b'Cosmetic sharpener',Art. nr 4113,4.69,http://donegal.com.pl/1843-large_default/temperowka-kosmetyczna-forever-beauty.jpg
3029,Make-up/Make-up accessories,b'Cosmetic sharpener',Art. nr 4109,1.39,http://donegal.com.pl/1250-large_default/temperowka-do-kredek-olowkow-beauty-care.jpg
3644,Make-up/Make-up accessories,b'Eyebrow stancil 3 pieces',Art. nr 4465,5.49,http://donegal.com.pl/1803-large_default/szablony-do-brwi-3szt.jpg
3076,Make-up/Make-up accessories,b'Make-up accessories set',Art. nr 4031,12.79,http://donegal.com.pl/2083-large_default/zestaw-do-makijazu-nova.jpg
3077,Make-up/Make-up accessories,b'Make-up accessories set',Art. nr 4032,23.39,http://donegal.com.pl/674-large_default/zestaw-do-makijazu-venus.jpg
3079,Make-up/Make-up accessories,b"MAKE'UP SET",Art. nr 4038,47.49,http://donegal.com.pl/2139-large_default/zestaw-do-makijazu-blooming-beauty.jpg
1249,Make-up/Make-up accessories,b'Eyelash curler',Art. nr 1038,7.79,http://donegal.com.pl/643-large_default/zalotka-do-rzes.jpg
1355,Make-up/Make-up accessories,b'Mask applicator brush',Art. nr 9631,11.59,http://donegal.com.pl/1632-large_default/pedzel-do-nakladania-maseczki.jpg

3684,Make-up/Cosmetic mirror,b'One - sided mirror FUNNY LOOK',Art. nr 4535,21.99,http://donegal.com.pl/193-large_default/lusterko-kosmetyczne-funny-look.jpg
